ITEM,FOTO,TIPO PRECO,PRECO,DATA
Burger Wagyu - 2 unidade,https://cdn.shopify.com/s/files/1/2254/3183/products/burger-wagyu-unidade-debetti_img1_480x480.jpg?v=1575006682,Preço normal,R$ 44,20-01-2020 às 11:13
Dry Aged Cheese Burger Kit (com 12 unidades),https://cdn.shopify.com/s/files/1/2254/3183/products/dry-aged-cheese-burger-kit-12-unidades_480x480.jpg?v=1575005608,Preço normal,R$ 44,20-01-2020 às 11:13
Dry Aged Cheese Burger | COMBO com 4 unidades,https://cdn.shopify.com/s/files/1/2254/3183/products/dry-aged-cheese-burger-combo-4-unidades-debetti_img1_480x480.jpg?v=1575006085,Preço normal,R$ 44,20-01-2020 às 11:13
Cheese Burger Kit IN-NATURA (com 12 unidades),https://cdn.shopify.com/s/files/1/2254/3183/products/cheese-burger-kit-in-natura-12-unidades-debetti_img1_480x480.jpg?v=1575006108,Preço normal,R$ 44,20-01-2020 às 11:13
Cheese Burger in natura | COMBO com 4 unidades,https://cdn.shopify.com/s/files/1/2254/3183/products/cheese-burger-in-natura-combo-4-unidade-debetti_img1_480x480.jpg?v=1575005642,Preço normal,R$ 44,20-01-2020 às 11:13
Kit Double Sheikh Burger (com 24 unidades de burger de 120g e 12 pães de brioche),https://cdn.shopify.com/s/files/1/2254/3183/products/sheik-burger-debetti_img1_82c8a5c3-de44-43f9-99ec-ae720c7605ad_480x480.jpg?v=1575005747,Preço normal,R$ 44,20-01-2020 às 11:13
Combo Sheikh Burger,https://cdn.shopify.com/s/files/1/2254/3183/products/sheik-burger-debetti_img1_480x480.jpg?v=1575006757,Preço normal,R$ 44,20-01-2020 às 11:13
Sheikh Burger Unidade,https://cdn.shopify.com/s/files/1/2254/3183/products/sheikh-burger-unidade-debetti_img1_480x480.jpg?v=1575006009,Preço normal,R$ 44,20-01-2020 às 11:13
Bacon Defumado Fatiado,https://cdn.shopify.com/s/files/1/2254/3183/products/bacon-defumado-fatiado-debetti_img1_480x480.jpg?v=1575006478,Preço normal,R$ 44,20-01-2020 às 11:13
Cebola Caramelizada,https://cdn.shopify.com/s/files/1/2254/3183/products/cebola-caramelizada-pote-250g-debetti_img1_480x480.jpg?v=1575006113,Preço normal,R$ 44,20-01-2020 às 11:13
Burger - Dry Aged - 4 unidades,https://cdn.shopify.com/s/files/1/2254/3183/products/burger-dry-aged-4-unidades-debetti_img1_480x480.jpg?v=1575005663,Preço normal,R$ 44,20-01-2020 às 11:13
Burger - Dry Aged - unidade,https://cdn.shopify.com/s/files/1/2254/3183/products/burger-dry-aged-unidade-debetti_img1_480x480.jpg?v=1575005913,Preço normal,R$ 44,20-01-2020 às 11:13
Burger - In Natura - 4 unidades,https://cdn.shopify.com/s/files/1/2254/3183/products/burger-in-natura-4-unidades-debetti_img1_480x480.jpg?v=1575007265,Preço normal,R$ 44,20-01-2020 às 11:13
Burger - In Natura - unidade,https://cdn.shopify.com/s/files/1/2254/3183/products/burger-in-natura-unidade-debetti_img1_480x480.jpg?v=1575006823,Preço normal,R$ 44,20-01-2020 às 11:13
Queijo Cheddar Inglês - Fatiado 120g,https://cdn.shopify.com/s/files/1/2254/3183/products/Queijo-cheddar-fatiado-4-fatias_debetti_img01_jpg_480x480.jpg?v=1575006643,Preço normal,R$ 44,20-01-2020 às 11:13
Burger de Cordeiro - Sta Ignácia,https://cdn.shopify.com/s/files/1/2254/3183/products/burger_de_cordeiro-sta_ignacia-debetti_img1_480x480.jpg?v=1575005910,Preço normal,R$ 44,20-01-2020 às 11:13
Manteiga Clarificada,https://cdn.shopify.com/s/files/1/2254/3183/products/manteiga-clarificada-debetti_img1_480x480.jpg?v=1575007296,Preço normal,R$ 44,20-01-2020 às 11:13
Pão de Brioche para Burger - Casa Victoriana - pacote com 4 unidades,https://cdn.shopify.com/s/files/1/2254/3183/products/pao-brioche-burger-casa-victoriana-pacote-4-unidades-debetti_img1_480x480.jpg?v=1575005825,Preço normal,R$ 44,20-01-2020 às 11:13
Espátula Brinox,https://cdn.shopify.com/s/files/1/2254/3183/products/espatula-brinox-debetti_img1_480x480.jpg?v=1575005862,Preço normal,R$ 44,20-01-2020 às 11:13
Aro Inox,https://cdn.shopify.com/s/files/1/2254/3183/products/aro-inox-debetti_img1_480x480.jpg?v=1575006193,Preço normal,R$ 44,20-01-2020 às 11:13
