ITEM,FOTO,TIPO PRECO,PRECO,DATA
Pão de Alho Tradicional,https://cdn.shopify.com/s/files/1/2254/3183/products/pao-alho-recheado-queijo-debetti_img1_480x480.jpg?v=1575006398,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Linguiça Toscana Pirineus - R$ 65/kg,https://cdn.shopify.com/s/files/1/2254/3183/products/linguica-toscana-pirineus-R_65_kg-debetti_img2_480x480.jpg?v=1575006963,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Linguiça Parrillera Pirineus - R$ 65/kg,https://cdn.shopify.com/s/files/1/2254/3183/products/linguica-parrilera-pirineus-R_65_kg-debetti_img1_480x480.jpg?v=1575006710,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Linguiça Calabresa Pirineus - R$ 65/kg,https://cdn.shopify.com/s/files/1/2254/3183/products/linguica-calabresa-pirineus-R_65_kg-debetti_img1_480x480.jpg?v=1575006781,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Salame Tipo Fuet Pirineus,https://cdn.shopify.com/s/files/1/2254/3183/products/salame-fuet-pirineus-debetti_img1_480x480.jpg?v=1575005782,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Queijo Provolone - Fazenda Atalaia,https://cdn.shopify.com/s/files/1/2254/3183/products/queijo-provolone-debetti_img3_480x480.jpg?v=1575006381,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Queijo Cuesta Artesanal,https://cdn.shopify.com/s/files/1/2254/3183/products/queijo-cuesta-pardinho-debetti_img1_480x480.jpg?v=1575005802,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Queijo Mandala Artesanal,https://cdn.shopify.com/s/files/1/2254/3183/products/queijo-mandala-artesanal-debetti_img1.jpg_480x480.JPG?v=1575006023,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Linguiça Tipo Cuiabana - Autêntica,https://cdn.shopify.com/s/files/1/2254/3183/products/linguica-tipo-cuiabana-autentica-debetti_img1_480x480.jpg?v=1575006778,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Copa Curada Pirineus - R$ 129/kg,https://cdn.shopify.com/s/files/1/2254/3183/products/copa-curada-pirineus-debetti_img1_480x480.jpg?v=1575006677,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Chorizo Cantimpalo Pirineus,https://cdn.shopify.com/s/files/1/2254/3183/products/chorizo-cantimpalo-pirineus-debetti_img1_480x480.jpg?v=1575006928,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Calabresa com Gorgonzola - Autêntica,https://cdn.shopify.com/s/files/1/2254/3183/products/calabresa-com-gorgozola-autentica-debetti_img1_480x480.jpg?v=1575005907,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Linguiça Pantaneira - Autêntica,https://cdn.shopify.com/s/files/1/2254/3183/products/linguica-pantaneira-autentica-debetti_img1_480x480.jpg?v=1575005971,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Calabresa com Pimenta Biquinho - Autêntica,https://cdn.shopify.com/s/files/1/2254/3183/products/calabresa-com-pimenta-biquinho-autentica-debetti_img1_480x480.jpg?v=1575005651,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Queijo Porão - Fazenda Atalaia,https://cdn.shopify.com/s/files/1/2254/3183/products/queijo_porao-fazenda_atalaia-debetti_img1_480x480.jpg?v=1575005511,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Queijo Mogiana - Fazenda Atalaia,https://cdn.shopify.com/s/files/1/2254/3183/products/queijo_mogiana-fazenda_atalaia-debetti_img1_480x480.jpg?v=1575005513,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Lombo Curado Pirineus - R$ 129/kg,https://cdn.shopify.com/s/files/1/2254/3183/products/lombo-curado-artesanal-pirineus-debetti_img1_480x480.jpg?v=1575005969,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Queijo Terreiro - Fazenda Atalaia,https://cdn.shopify.com/s/files/1/2254/3183/products/queijo_terreiro-fazenda_atalaia-debetti_img1_480x480.jpg?v=1575006211,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Linguiça de Cordeiro Sta Ignácia,https://cdn.shopify.com/s/files/1/2254/3183/products/linguica-de-cordeiro-debetti_img1_480x480.jpg?v=1575006709,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
Queijo Figueira - Fazenda Atalaia,https://cdn.shopify.com/s/files/1/2254/3183/products/queijo_figueira-fazenda_atalaia-debetti_img1_480x480.jpg?v=1575006024,Preço normal,A partir de R$ 8,20-01-2020 às 11:03
